ID,ISBN,Authors,Title,Publication YEAR,Average rating
53,375826696,Christopher Paolini,Eragon,2002,3.86
54,345391802,Douglas Adams,The Hitchhiker's Guide to the Galaxy,1979,4.2
55,60929871,Aldous Huxley,Brave New World,1932,3.97
56,31606792,Stephenie Meyer,Breaking Dawn,2008,3.7
57,142001740,Sue Monk Kidd,The Secret Life of Bees,2001,4.01
58,142437174,"Mark Twain, John Seelye",The Adventures of Huckleberry Finn,1884,3.8
59,64410935,E.B. White,Charlotte's Web,1952,4.15
60,1400032717,Mark Haddon,The Curious Incident,2003,3.85
61,1594633665,Paula Hawkins,The Girl on the Train,2015,3.88
62,679879242,Philip Pullman,Northern Lights,1995,3.94
63,393978893,"Emily Brontë, Richard J. Dunn",Wuthering Heights,1847,3.82
64,743454537,Jodi Picoult,My Sister's Keeper,2004,4.06
65,385333846,Kurt Vonnegut Jr.,Slaughterhouse-Five,1969,4.06
66,446675539,Margaret Mitchell,Gone with the Wind,1936,4.28
67,1594489505,Khaled Hosseini,A Thousand Splendid Suns,2007,4.34
68,671027344,Stephen Chbosky,The Perks of Being a Wallflower,1999,4.21
69,7442912,Veronica Roth,Insurgent,2012,4.07
70,812550706,Orson Scott Card,Ender's Game,1985,4.3
71,141439475,Mary Wollstonecraft Shelley,Frankenstein,1818,3.75
72,450040186,Stephen King,The Shining,1977,4.17
73,316068047,Stephenie Meyer,The Host,2008,3.84
74,142402516,John Green,Looking for Alaska,2005,4.09
75,14028009,Helen Fielding,The Modern Prometheus,1996,3.75
76,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,1811,4.06
77,439244196,"Louis Sachar, Louis Sachar",Holes,1998,3.93
78,307275558,Lauren Weisberger,The Devil Wears Prada,2003,3.7
79,143039954,"Homer, Robert Fagles",Ὀδύσσεια,-720,3.73
80,156012197,Antoine de Saint-Exupéry,Le Petit Prince,1946,4.28
81,74324754,Jeannette Walls,The Glass Castle,2005,4.24
82,385486804,Jon Krakauer,Into the Wild,1996,3.94
83,141439602,Charles Dickens,A Tale of Two Cities,1859,3.81
84,30734813,Michael Crichton,Jurassic Park,1990,3.96
85,60256656,Shel Silverstein,The Giving Tree,1964,4.38
86,385338600,John Grisham,A Time to Kill,1989,4.03
87,374500010,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,1958,4.3
88,14241493,John Green,Paper Towns,2008,3.88
89,345418263,William Goldman,The Princess Bride,1973,4.25
90,14038572,S.E. Hinton,The Outsiders,1967,4.06
91,385737947,James Dashner,The Maze Runner,2009,4.02
92,61234001,"Steven D. Levitt, Stephen J. Dubner",Freakonomics,2005,3.93
93,517189607,Frances Hodgson Burnett,The Secret Garden,1911,4.12
94,60531045,Gabriel García Márquez,Cien años de soledad,1967,4.04
95,375751513,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,1891,4.06
96,345803507,E.L. James,Fifty Shades Freed,2012,3.88
97,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,1897,3.98
98,307269981,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden,2006,4.22
